stn_id,stn_name,stn_lat,stn_lon,open_status,opening_month,opening_month_num,opening_year,closing_month,closing_month_num,closing_year,duration_days,borough,puma_id,puma_name,cd_name,ct2010
3084,Devoe St & Leonard St,40.7134866,-73.9479246,0,August,8,2015,December,12,2016,516,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047050300
3095,Graham Ave & Herbert St,40.719293,-73.9450038,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047047700
3106,Driggs Ave & N Henry St,40.72325,-73.94308,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047059100
3097,N Henry St & Richardson St,40.7192159,-73.9424469,0,August,8,2015,May,5,2016,302,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047047700
3091,Frost St & Meeker St,40.71764,-73.94882,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047051500
3083,Bushwick Ave & Powers St,40.7124766,-73.9410001,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047049500
3081,Graham Ave & Grand St,40.711863,-73.944024,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047049500
3073,Division Ave & Hooper St,40.7069125,-73.9544167,0,August,8,2015,July,7,2018,1093,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047052900
3075,Division Ave & Marcy Ave,40.707087,-73.9579678,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047052900
3079,Leonard St & Grand St,40.7110354,-73.947143,0,August,8,2015,December,12,2016,516,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047050300
3077,Stagg St & Union Ave,40.7087708,-73.9509526,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047052700
3069,Lorimer St & Broadway,40.7041179,-73.948186,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047050900
3076,Scholes St & Manhattan Ave,40.7087037,-73.9448625,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047050500
3070,McKibbin St & Manhattan Ave,40.7051092,-73.9440728,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047050500
3074,Montrose Ave & Bushwick Ave,40.7076779,-73.9401617,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4002,Bushwick,Bushwick,36047049300
3065,Union Ave & Wallabout St,40.7002951,-73.9503228,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4003,Bedford-Stuyvesant,Bedford Stuyvesant,36047050700
3072,Leonard St & Boerum St,40.7058334,-73.9464458,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047051100
3067,Broadway & Whipple St,40.7016657,-73.9437303,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4003,Bedford-Stuyvesant,Bedford Stuyvesant,36047050700
3060,Willoughby Ave & Tompkins Ave,40.694254,-73.9462692,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4003,Bedford-Stuyvesant,Bedford Stuyvesant,36047025901
3068,Humboldt St & Varet St,40.7031724,-73.940636,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4002,Bushwick,Bushwick,36047048900
